Geography,Geographic Area Name,totalpop,hispanic_latino,white,black,american_indian,asian,native_hawaiian,other
1400000US06037137501,"Census Tract 1375.01, Los Angeles County, California",4662,587,3002,368,1,387,1,33
1400000US06037137502,"Census Tract 1375.02, Los Angeles County, California",4441,555,3109,148,4,316,4,42
1400000US06037137504,"Census Tract 1375.04, Los Angeles County, California",1920,118,1531,51,0,105,0,11
1400000US06037138000,"Census Tract 1380, Los Angeles County, California",4575,424,3451,119,7,307,0,53
1400000US06037139001,"Census Tract 1390.01, Los Angeles County, California",5125,1089,3086,239,4,374,9,28
1400000US06037139200,"Census Tract 1392, Los Angeles County, California",5519,1122,3381,250,9,422,6,36
1400000US06037139301,"Census Tract 1393.01, Los Angeles County, California",4692,595,3253,163,7,377,0,48
1400000US06037139302,"Census Tract 1393.02, Los Angeles County, California",4734,1538,2091,372,7,426,5,40
1400000US06037139303,"Census Tract 1393.03, Los Angeles County, California",4481,1336,2308,278,2,328,5,29
1400000US06037139401,"Census Tract 1394.01, Los Angeles County, California",2894,606,1712,156,9,217,6,22
1400000US06037139402,"Census Tract 1394.02, Los Angeles County, California",2782,188,2264,51,0,132,0,18
1400000US06037139502,"Census Tract 1395.02, Los Angeles County, California",3118,287,2433,50,1,138,2,20
1400000US06037139504,"Census Tract 1395.04, Los Angeles County, California",3742,463,2595,196,1,221,1,21
1400000US06037139505,"Census Tract 1395.05, Los Angeles County, California",2565,423,1668,126,0,192,0,20
1400000US06037139506,"Census Tract 1395.06, Los Angeles County, California",2767,408,1835,124,1,212,3,25
1400000US06037139600,"Census Tract 1396, Los Angeles County, California",5185,556,3709,222,6,389,7,38
1400000US06037139701,"Census Tract 1397.01, Los Angeles County, California",5438,453,4116,136,7,406,3,54
1400000US06037139703,"Census Tract 1397.03, Los Angeles County, California",2693,142,2162,35,3,179,0,17
1400000US06037139704,"Census Tract 1397.04, Los Angeles County, California",2624,152,2035,52,8,185,1,10
1400000US06037139705,"Census Tract 1397.05, Los Angeles County, California",3643,203,2914,47,0,253,0,19
1400000US06037139801,"Census Tract 1398.01, Los Angeles County, California",3523,193,2915,76,1,156,5,9
1400000US06037139802,"Census Tract 1398.02, Los Angeles County, California",3858,260,3127,73,2,227,0,20
1400000US06037141101,"Census Tract 1411.01, Los Angeles County, California",4903,747,3186,267,13,337,5,57
1400000US06037141102,"Census Tract 1411.02, Los Angeles County, California",3023,425,2057,158,5,187,2,19
1400000US06037141201,"Census Tract 1412.01, Los Angeles County, California",4289,805,2634,275,3,312,7,21
1400000US06037141202,"Census Tract 1412.02, Los Angeles County, California",2922,317,2130,99,2,176,1,41
1400000US06037141303,"Census Tract 1413.03, Los Angeles County, California",3191,502,2017,181,3,276,8,16
1400000US06037141304,"Census Tract 1413.04, Los Angeles County, California",3015,371,2146,135,1,179,1,28
1400000US06037141305,"Census Tract 1413.05, Los Angeles County, California",2986,447,1918,185,0,218,7,30
1400000US06037141306,"Census Tract 1413.06, Los Angeles County, California",2974,395,2004,142,2,275,7,15
1400000US06037141400,"Census Tract 1414, Los Angeles County, California",4705,588,3318,154,1,390,3,38
1400000US06037141500,"Census Tract 1415, Los Angeles County, California",3089,210,2444,47,2,226,2,8
1400000US06037141600,"Census Tract 1416, Los Angeles County, California",4088,283,3211,50,0,304,2,18
1400000US06037141700,"Census Tract 1417, Los Angeles County, California",3096,210,2386,69,2,226,2,16
1400000US06037143101,"Census Tract 1431.01, Los Angeles County, California",2142,327,1485,82,0,114,0,15
1400000US06037143102,"Census Tract 1431.02, Los Angeles County, California",2294,385,1447,144,3,172,2,16
1400000US06037143200,"Census Tract 1432, Los Angeles County, California",4377,910,2490,283,17,386,5,35
1400000US06037143301,"Census Tract 1433.01, Los Angeles County, California",3236,767,1831,171,9,234,6,29
1400000US06037143302,"Census Tract 1433.02, Los Angeles County, California",3367,434,2322,123,0,285,1,16
1400000US06037143401,"Census Tract 1434.01, Los Angeles County, California",4632,542,3248,224,5,319,4,24
1400000US06037143402,"Census Tract 1434.02, Los Angeles County, California",1791,227,1237,58,2,136,4,7
1400000US06037143500,"Census Tract 1435, Los Angeles County, California",5197,585,3713,157,0,350,0,36
1400000US06037143602,"Census Tract 1436.02, Los Angeles County, California",4740,501,3366,203,4,369,4,50
1400000US06037143603,"Census Tract 1436.03, Los Angeles County, California",2482,334,1602,130,6,248,5,25
1400000US06037143605,"Census Tract 1436.05, Los Angeles County, California",1945,300,1027,164,6,275,5,29
1400000US06037143606,"Census Tract 1436.06, Los Angeles County, California",1581,213,914,119,5,209,0,28
1400000US06037143700,"Census Tract 1437, Los Angeles County, California",3800,370,2719,127,2,307,5,35
1400000US06037143801,"Census Tract 1438.01, Los Angeles County, California",2926,297,2104,88,4,233,1,23
1400000US06037143802,"Census Tract 1438.02, Los Angeles County, California",2298,226,1674,82,2,165,0,13
1400000US06037143901,"Census Tract 1439.01, Los Angeles County, California",4319,339,3292,100,5,301,0,36
1400000US06037143902,"Census Tract 1439.02, Los Angeles County, California",2979,273,2234,78,11,205,0,33
1400000US06037181000,"Census Tract 1810, Los Angeles County, California",6132,1641,2552,91,15,1465,5,46
1400000US06037181300,"Census Tract 1813, Los Angeles County, California",3613,1107,1252,65,7,982,4,13
1400000US06037181400,"Census Tract 1814, Los Angeles County, California",4134,1373,1291,79,13,1172,3,24
1400000US06037181500,"Census Tract 1815, Los Angeles County, California",3653,1373,1324,52,5,701,3,21
1400000US06037181600,"Census Tract 1816, Los Angeles County, California",4247,1310,1645,124,11,865,15,23
1400000US06037183101,"Census Tract 1831.01, Los Angeles County, California",3659,2022,1030,64,13,361,2,37
1400000US06037183103,"Census Tract 1831.03, Los Angeles County, California",3839,2519,658,95,22,400,3,32
1400000US06037183104,"Census Tract 1831.04, Los Angeles County, California",2095,997,590,36,2,364,1,18
1400000US06037183220,"Census Tract 1832.20, Los Angeles County, California",3682,2489,574,49,9,470,0,14
1400000US06037183221,"Census Tract 1832.21, Los Angeles County, California",2901,1599,834,62,15,258,4,24
1400000US06037183222,"Census Tract 1832.22, Los Angeles County, California",3303,1450,1039,64,12,576,7,18
1400000US06037183300,"Census Tract 1833, Los Angeles County, California",3083,1898,550,10,10,532,0,14
1400000US06037183401,"Census Tract 1834.01, Los Angeles County, California",2226,1156,540,29,4,423,1,6
1400000US06037183402,"Census Tract 1834.02, Los Angeles County, California",2997,1289,671,50,7,839,3,12
1400000US06037183510,"Census Tract 1835.10, Los Angeles County, California",2368,1615,502,16,3,160,0,12
1400000US06037183520,"Census Tract 1835.20, Los Angeles County, California",3450,2483,616,54,3,193,0,20
1400000US06037183610,"Census Tract 1836.10, Los Angeles County, California",2813,1860,554,37,22,247,0,16
1400000US06037183620,"Census Tract 1836.20, Los Angeles County, California",2912,1880,619,31,8,280,3,17
1400000US06037183701,"Census Tract 1837.01, Los Angeles County, California",3838,2687,707,82,9,252,0,16
1400000US06037183702,"Census Tract 1837.02, Los Angeles County, California",2669,1308,650,120,0,455,4,21
1400000US06037183810,"Census Tract 1838.10, Los Angeles County, California",4260,3055,805,78,6,194,1,20
1400000US06037183820,"Census Tract 1838.20, Los Angeles County, California",3626,2903,410,54,9,203,1,13
1400000US06037185101,"Census Tract 1851.01, Los Angeles County, California",2830,1687,739,35,6,239,2,4
1400000US06037185102,"Census Tract 1851.02, Los Angeles County, California",2990,815,1506,88,2,354,2,26
1400000US06037185202,"Census Tract 1852.02, Los Angeles County, California",3682,1989,1139,108,5,245,0,21
1400000US06037185203,"Census Tract 1852.03, Los Angeles County, California",2651,1964,381,21,10,209,2,4
1400000US06037185204,"Census Tract 1852.04, Los Angeles County, California",1977,690,675,43,2,474,3,13
1400000US06037185310,"Census Tract 1853.10, Los Angeles County, California",2724,2292,207,9,4,175,1,4
1400000US06037185320,"Census Tract 1853.20, Los Angeles County, California",2763,2217,254,36,4,198,2,13
1400000US06037186100,"Census Tract 1861, Los Angeles County, California",4678,1557,1613,58,13,1177,7,37
1400000US06037186201,"Census Tract 1862.01, Los Angeles County, California",3085,1079,647,81,3,1110,2,15
1400000US06037186202,"Census Tract 1862.02, Los Angeles County, California",1985,766,485,49,9,591,2,12
1400000US06037186203,"Census Tract 1862.03, Los Angeles County, California",2751,1007,1126,57,9,384,0,16
1400000US06037186301,"Census Tract 1863.01, Los Angeles County, California",2679,1782,449,57,4,303,1,16
1400000US06037186302,"Census Tract 1863.02, Los Angeles County, California",5190,2497,1410,96,1,953,5,32
1400000US06037186401,"Census Tract 1864.01, Los Angeles County, California",2991,2199,259,52,5,431,2,4
1400000US06037186403,"Census Tract 1864.03, Los Angeles County, California",2521,1669,324,35,6,429,4,7
1400000US06037186404,"Census Tract 1864.04, Los Angeles County, California",2266,1552,385,28,0,246,0,17
1400000US06037187101,"Census Tract 1871.01, Los Angeles County, California",3011,1165,1013,31,11,652,2,17
1400000US06037187102,"Census Tract 1871.02, Los Angeles County, California",4083,2136,913,65,7,829,7,17
1400000US06037187200,"Census Tract 1872, Los Angeles County, California",2801,1781,521,43,6,386,0,10
1400000US06037187300,"Census Tract 1873, Los Angeles County, California",3456,662,1833,80,6,675,4,25
1400000US06037188100,"Census Tract 1881, Los Angeles County, California",4070,1980,1415,98,6,422,3,14
1400000US06037188201,"Census Tract 1882.01, Los Angeles County, California",3378,579,2067,141,8,326,2,24
1400000US06037188202,"Census Tract 1882.02, Los Angeles County, California",2460,269,1615,77,1,343,4,16
1400000US06037188300,"Census Tract 1883, Los Angeles County, California",3271,870,1386,37,4,801,2,13
1400000US06037189101,"Census Tract 1891.01, Los Angeles County, California",2589,383,1707,60,5,267,2,16
1400000US06037189102,"Census Tract 1891.02, Los Angeles County, California",3316,457,2293,82,4,289,2,26
1400000US06037189201,"Census Tract 1892.01, Los Angeles County, California",3256,525,2133,140,6,313,4,11
1400000US06037189202,"Census Tract 1892.02, Los Angeles County, California",2775,311,1955,37,4,290,5,18
1400000US06037189300,"Census Tract 1893, Los Angeles County, California",3216,275,2263,77,3,399,2,17
1400000US06037189400,"Census Tract 1894, Los Angeles County, California",3575,336,2695,97,6,189,5,20
1400000US06037189501,"Census Tract 1895.01, Los Angeles County, California",2183,252,1591,76,2,128,0,15
1400000US06037189502,"Census Tract 1895.02, Los Angeles County, California",2251,399,1428,126,3,152,0,18
1400000US06037189600,"Census Tract 1896, Los Angeles County, California",3738,596,2435,211,6,257,0,37
1400000US06037189702,"Census Tract 1897.02, Los Angeles County, California",2389,278,1649,105,5,183,0,27
1400000US06037189703,"Census Tract 1897.03, Los Angeles County, California",2259,326,1418,154,0,182,4,18
1400000US06037189704,"Census Tract 1897.04, Los Angeles County, California",2786,356,1780,163,5,271,6,40
1400000US06037189801,"Census Tract 1898.01, Los Angeles County, California",2302,311,1637,95,1,115,2,15
1400000US06037189802,"Census Tract 1898.02, Los Angeles County, California",2005,238,1397,121,0,113,0,13
1400000US06037189903,"Census Tract 1899.03, Los Angeles County, California",2228,249,1539,135,2,174,4,18
1400000US06037189904,"Census Tract 1899.04, Los Angeles County, California",2502,365,1582,130,1,205,0,33
1400000US06037189905,"Census Tract 1899.05, Los Angeles County, California",2462,368,1680,128,9,134,6,27
1400000US06037189906,"Census Tract 1899.06, Los Angeles County, California",2746,344,1791,185,7,228,1,30
1400000US06037189907,"Census Tract 1899.07, Los Angeles County, California",2434,300,1667,145,6,161,4,23
1400000US06037190101,"Census Tract 1901.01, Los Angeles County, California",1832,368,1002,168,0,150,0,27
1400000US06037190102,"Census Tract 1901.02, Los Angeles County, California",2737,645,1442,185,6,223,9,52
1400000US06037190201,"Census Tract 1902.01, Los Angeles County, California",2872,877,1235,341,15,128,13,124
1400000US06037190202,"Census Tract 1902.02, Los Angeles County, California",3568,697,1854,369,17,354,3,54
1400000US06037190302,"Census Tract 1903.02, Los Angeles County, California",2283,447,1313,172,8,190,6,36
1400000US06037190303,"Census Tract 1903.03, Los Angeles County, California",2470,647,1308,142,3,250,1,14
1400000US06037190401,"Census Tract 1904.01, Los Angeles County, California",2857,610,1690,119,7,286,2,12
1400000US06037190402,"Census Tract 1904.02, Los Angeles County, California",2388,508,1343,89,4,339,6,15
1400000US06037190510,"Census Tract 1905.10, Los Angeles County, California",4362,1467,1531,358,3,771,0,38
1400000US06037190520,"Census Tract 1905.20, Los Angeles County, California",3489,1186,1471,154,7,520,5,22
1400000US06037190701,"Census Tract 1907.01, Los Angeles County, California",1867,544,831,169,10,198,7,11
1400000US06037190702,"Census Tract 1907.02, Los Angeles County, California",1420,529,640,63,2,118,1,17
1400000US06037190801,"Census Tract 1908.01, Los Angeles County, California",2500,1103,910,152,4,229,0,16
1400000US06037190802,"Census Tract 1908.02, Los Angeles County, California",2794,1212,986,200,2,241,9,52
1400000US06037190901,"Census Tract 1909.01, Los Angeles County, California",4016,3024,604,168,8,120,0,19
1400000US06037190902,"Census Tract 1909.02, Los Angeles County, California",3608,1954,1088,172,5,239,0,30
1400000US06037191000,"Census Tract 1910, Los Angeles County, California",5893,1652,2555,646,14,612,7,67
1400000US06037191110,"Census Tract 1911.10, Los Angeles County, California",3141,1056,1515,102,2,379,3,17
1400000US06037191120,"Census Tract 1911.20, Los Angeles County, California",3801,1905,1210,158,8,386,0,30
1400000US06037191201,"Census Tract 1912.01, Los Angeles County, California",4072,1130,2162,116,9,468,9,14
1400000US06037191203,"Census Tract 1912.03, Los Angeles County, California",2531,1127,773,122,9,412,2,5
1400000US06037191204,"Census Tract 1912.04, Los Angeles County, California",1862,771,685,53,3,297,1,13
1400000US06037191301,"Census Tract 1913.01, Los Angeles County, California",2076,1028,486,95,0,416,1,4
1400000US06037191302,"Census Tract 1913.02, Los Angeles County, California",2192,894,587,95,0,524,0,19
1400000US06037191410,"Census Tract 1914.10, Los Angeles County, California",3924,2582,587,120,7,511,3,22
1400000US06037191420,"Census Tract 1914.20, Los Angeles County, California",2837,1751,552,85,9,340,6,16
1400000US06037191500,"Census Tract 1915, Los Angeles County, California",4980,2732,1007,135,4,975,6,29
1400000US06037191610,"Census Tract 1916.10, Los Angeles County, California",4271,2723,823,138,3,442,7,18
1400000US06037191620,"Census Tract 1916.20, Los Angeles County, California",2628,1583,544,77,0,338,6,15
1400000US06037191710,"Census Tract 1917.10, Los Angeles County, California",2576,1550,565,134,5,241,4,20
1400000US06037191720,"Census Tract 1917.20, Los Angeles County, California",3534,2484,539,100,4,328,0,25
1400000US06037191810,"Census Tract 1918.10, Los Angeles County, California",3028,1824,748,165,7,177,4,20
1400000US06037191820,"Census Tract 1918.20, Los Angeles County, California",3279,1281,1270,201,0,310,1,35
1400000US06037191901,"Census Tract 1919.01, Los Angeles County, California",3563,909,1773,304,9,333,5,38
1400000US06037191902,"Census Tract 1919.02, Los Angeles County, California",2961,413,1905,114,6,306,1,29
1400000US06037192001,"Census Tract 1920.01, Los Angeles County, California",2574,324,1774,134,2,200,0,39
1400000US06037192002,"Census Tract 1920.02, Los Angeles County, California",2550,306,1874,58,0,153,3,18
1400000US06037192300,"Census Tract 1923, Los Angeles County, California",2863,288,1816,132,2,460,1,10
1400000US06037192410,"Census Tract 1924.10, Los Angeles County, California",3573,707,1695,150,1,809,2,31
1400000US06037192420,"Census Tract 1924.20, Los Angeles County, California",3645,1454,633,143,6,1248,1,49
1400000US06037192510,"Census Tract 1925.10, Los Angeles County, California",3508,1859,241,66,18,1237,4,21
1400000US06037192520,"Census Tract 1925.20, Los Angeles County, California",4326,3051,335,93,4,737,2,34
1400000US06037192610,"Census Tract 1926.10, Los Angeles County, California",4149,2782,527,163,10,567,2,35
1400000US06037192620,"Census Tract 1926.20, Los Angeles County, California",3260,1978,280,95,3,800,3,34
1400000US06037192700,"Census Tract 1927, Los Angeles County, California",3550,1938,545,185,19,730,8,24
1400000US06037194101,"Census Tract 1941.01, Los Angeles County, California",3236,423,2289,119,5,182,4,13
1400000US06037194102,"Census Tract 1941.02, Los Angeles County, California",3462,225,2644,117,9,228,3,28
1400000US06037194200,"Census Tract 1942, Los Angeles County, California",3596,292,2864,63,3,160,0,26
1400000US06037194300,"Census Tract 1943, Los Angeles County, California",2972,238,2312,86,4,143,0,14
1400000US06037194401,"Census Tract 1944.01, Los Angeles County, California",2559,325,1708,142,3,193,0,41
1400000US06037194402,"Census Tract 1944.02, Los Angeles County, California",3146,280,2376,74,2,245,7,24
1400000US06037194500,"Census Tract 1945, Los Angeles County, California",2347,214,1703,66,4,244,1,25
1400000US06037195100,"Census Tract 1951, Los Angeles County, California",4974,667,3115,121,5,722,3,38
1400000US06037195201,"Census Tract 1952.01, Los Angeles County, California",3080,530,1954,54,1,302,7,38
1400000US06037195202,"Census Tract 1952.02, Los Angeles County, California",3194,439,2113,76,3,330,0,10
1400000US06037195300,"Census Tract 1953, Los Angeles County, California",3070,767,1692,56,2,359,5,17
1400000US06037195400,"Census Tract 1954, Los Angeles County, California",4244,879,2438,135,2,507,3,33
1400000US06037195500,"Census Tract 1955, Los Angeles County, California",4991,1316,2417,120,3,852,4,34
1400000US06037195600,"Census Tract 1956, Los Angeles County, California",3056,1498,973,112,5,331,0,19
1400000US06037195710,"Census Tract 1957.10, Los Angeles County, California",3939,2280,880,127,7,536,3,22
1400000US06037195720,"Census Tract 1957.20, Los Angeles County, California",1896,939,619,45,2,203,1,19
1400000US06037195802,"Census Tract 1958.02, Los Angeles County, California",2744,1349,485,112,9,711,1,18
1400000US06037195803,"Census Tract 1958.03, Los Angeles County, California",2457,830,1063,97,12,313,0,16
1400000US06037195804,"Census Tract 1958.04, Los Angeles County, California",2459,1099,806,54,4,388,1,12
1400000US06037195901,"Census Tract 1959.01, Los Angeles County, California",2248,672,1023,61,6,358,10,9
1400000US06037195902,"Census Tract 1959.02, Los Angeles County, California",1848,402,1055,52,2,214,1,10
1400000US06037195903,"Census Tract 1959.03, Los Angeles County, California",1988,854,647,53,3,328,2,11
1400000US06037197200,"Census Tract 1972, Los Angeles County, California",3287,1738,317,10,9,1121,0,6
1400000US06037197300,"Census Tract 1973, Los Angeles County, California",3650,1376,1553,78,8,457,1,27
1400000US06037197410,"Census Tract 1974.10, Los Angeles County, California",3707,1199,1867,66,5,324,4,30
1400000US06037197420,"Census Tract 1974.20, Los Angeles County, California",3376,1698,1089,83,12,351,4,20
1400000US06037197500,"Census Tract 1975, Los Angeles County, California",3973,1953,1317,107,13,409,0,28
1400000US06037197600,"Census Tract 1976, Los Angeles County, California",2431,1127,800,58,5,344,3,9
1400000US06037197700,"Census Tract 1977, Los Angeles County, California",4565,1399,920,166,10,1859,1,31
1400000US06037199001,"Census Tract 1990.01, Los Angeles County, California",2552,1652,89,44,4,725,0,7
1400000US06037199002,"Census Tract 1990.02, Los Angeles County, California",2913,1748,308,100,7,685,2,7
1400000US06037199110,"Census Tract 1991.10, Los Angeles County, California",2377,1892,208,33,25,174,0,8
1400000US06037199120,"Census Tract 1991.20, Los Angeles County, California",3777,2708,232,112,11,658,7,19
1400000US06037199201,"Census Tract 1992.01, Los Angeles County, California",3584,2335,193,75,3,919,0,16
1400000US06037199202,"Census Tract 1992.02, Los Angeles County, California",2785,2046,354,53,5,249,2,10
1400000US06037199300,"Census Tract 1993, Los Angeles County, California",3545,2081,848,82,13,382,1,17
1400000US06037199400,"Census Tract 1994, Los Angeles County, California",4470,3339,308,55,10,665,1,18
1400000US06037199700,"Census Tract 1997, Los Angeles County, California",3393,2193,519,95,7,479,4,28
1400000US06037199801,"Census Tract 1998.01, Los Angeles County, California",3036,1946,92,38,2,929,0,5
1400000US06037199802,"Census Tract 1998.02, Los Angeles County, California",2144,1172,53,7,8,859,0,4
1400000US06037199900,"Census Tract 1999, Los Angeles County, California",2641,2025,76,57,0,447,4,13
1400000US06037201110,"Census Tract 2011.10, Los Angeles County, California",2332,1737,258,54,2,250,1,3
1400000US06037201120,"Census Tract 2011.20, Los Angeles County, California",4395,3288,438,158,11,405,1,23
1400000US06037201200,"Census Tract 2012, Los Angeles County, California",2362,1965,150,17,8,181,0,9
1400000US06037201301,"Census Tract 2013.01, Los Angeles County, California",3409,2484,278,77,9,496,0,21
1400000US06037201302,"Census Tract 2013.02, Los Angeles County, California",3882,1070,943,213,4,1442,3,25
1400000US06037201401,"Census Tract 2014.01, Los Angeles County, California",4701,3672,355,135,14,450,2,9
1400000US06037201402,"Census Tract 2014.02, Los Angeles County, California",4046,2962,240,38,17,723,7,8
1400000US06037201501,"Census Tract 2015.01, Los Angeles County, California",4974,4095,288,53,18,446,2,25
1400000US06037201503,"Census Tract 2015.03, Los Angeles County, California",3059,2615,165,43,5,183,4,17
1400000US06037201504,"Census Tract 2015.04, Los Angeles County, California",2254,1817,137,27,6,233,0,8
1400000US06037201601,"Census Tract 2016.01, Los Angeles County, California",2183,1663,160,28,8,293,1,5
1400000US06037201602,"Census Tract 2016.02, Los Angeles County, California",2686,2153,185,28,15,261,0,12
1400000US06037201700,"Census Tract 2017, Los Angeles County, California",5055,3267,524,359,10,717,7,31
1400000US06037203100,"Census Tract 2031, Los Angeles County, California",4688,4339,92,79,8,121,0,19
1400000US06037203200,"Census Tract 2032, Los Angeles County, California",4264,3947,147,33,3,70,0,31
1400000US06037203300,"Census Tract 2033, Los Angeles County, California",2280,1460,210,284,7,254,2,5
1400000US06037203500,"Census Tract 2035, Los Angeles County, California",2751,2240,140,48,6,281,0,6
1400000US06037203601,"Census Tract 2036.01, Los Angeles County, California",2662,2551,43,19,6,22,0,8
1400000US06037203602,"Census Tract 2036.02, Los Angeles County, California",2124,1943,87,20,3,54,3,4
1400000US06037203710,"Census Tract 2037.10, Los Angeles County, California",3087,2911,77,19,4,51,3,11
1400000US06037203720,"Census Tract 2037.20, Los Angeles County, California",3580,3301,101,56,5,66,5,15
1400000US06037203800,"Census Tract 2038, Los Angeles County, California",4502,4247,114,37,3,69,3,10
1400000US06037203900,"Census Tract 2039, Los Angeles County, California",2611,2487,67,9,0,24,2,6
1400000US06037204110,"Census Tract 2041.10, Los Angeles County, California",2811,2677,61,11,4,26,3,15
1400000US06037204120,"Census Tract 2041.20, Los Angeles County, California",2368,2260,42,14,0,30,0,9
1400000US06037204200,"Census Tract 2042, Los Angeles County, California",3393,3123,92,56,3,94,0,9
1400000US06037204300,"Census Tract 2043, Los Angeles County, California",4433,4171,116,33,2,88,0,2
1400000US06037204410,"Census Tract 2044.10, Los Angeles County, California",2174,1941,85,36,3,77,1,2
1400000US06037204420,"Census Tract 2044.20, Los Angeles County, California",2870,2643,82,79,2,34,2,3
1400000US06037204600,"Census Tract 2046, Los Angeles County, California",3740,3380,156,68,9,88,4,7
1400000US06037204700,"Census Tract 2047, Los Angeles County, California",4632,4391,123,21,9,55,2,20
1400000US06037204810,"Census Tract 2048.10, Los Angeles County, California",5166,4902,101,56,5,60,1,13
1400000US06037204820,"Census Tract 2048.20, Los Angeles County, California",2055,1958,32,4,4,26,0,16
1400000US06037204910,"Census Tract 2049.10, Los Angeles County, California",3184,3007,72,41,0,26,0,15
1400000US06037204920,"Census Tract 2049.20, Los Angeles County, California",2537,2421,48,36,6,8,0,14
1400000US06037205110,"Census Tract 2051.10, Los Angeles County, California",3850,3704,46,26,6,35,0,20
1400000US06037205120,"Census Tract 2051.20, Los Angeles County, California",3858,3633,48,106,3,44,1,17
1400000US06037206010,"Census Tract 2060.10, Los Angeles County, California",3335,1617,334,151,3,1156,5,13
1400000US06037206020,"Census Tract 2060.20, Los Angeles County, California",5577,2602,899,1762,4,241,9,19
1400000US06037206050,"Census Tract 2060.50, Los Angeles County, California",2312,1724,127,116,2,280,3,19
1400000US06037206051,"Census Tract 2060.51, Los Angeles County, California",2591,597,1197,270,27,335,5,30
1400000US06037206052,"Census Tract 2060.52, Los Angeles County, California",3296,476,998,199,3,1405,8,29
1400000US06037206053,"Census Tract 2060.53, Los Angeles County, California",3261,2500,157,116,10,412,12,10
1400000US06037206054,"Census Tract 2060.54, Los Angeles County, California",2670,2144,51,27,0,418,0,6
1400000US06037206201,"Census Tract 2062.01, Los Angeles County, California",2647,664,599,431,25,772,10,23
1400000US06037206202,"Census Tract 2062.02, Los Angeles County, California",3035,776,626,526,64,894,11,26
1400000US06037206301,"Census Tract 2063.01, Los Angeles County, California",2074,539,366,924,42,53,13,22
1400000US06037206302,"Census Tract 2063.02, Los Angeles County, California",1375,431,288,491,22,66,9,6
1400000US06037206303,"Census Tract 2063.03, Los Angeles County, California",2858,1019,559,1043,56,48,17,23
1400000US06037207101,"Census Tract 2071.01, Los Angeles County, California",3233,648,521,378,11,1534,2,28
1400000US06037207102,"Census Tract 2071.02, Los Angeles County, California",3374,907,326,229,10,1833,3,14
1400000US06037207103,"Census Tract 2071.03, Los Angeles County, California",2099,380,172,106,3,1384,2,11
1400000US06037207303,"Census Tract 2073.03, Los Angeles County, California",2311,379,861,290,3,602,7,21
1400000US06037207304,"Census Tract 2073.04, Los Angeles County, California",2124,688,621,450,11,184,0,25
1400000US06037207305,"Census Tract 2073.05, Los Angeles County, California",1181,278,566,111,2,152,7,7
1400000US06037207306,"Census Tract 2073.06, Los Angeles County, California",2227,457,818,466,12,312,1,17
1400000US06037207307,"Census Tract 2073.07, Los Angeles County, California",1160,221,360,335,7,113,2,20
1400000US06037207308,"Census Tract 2073.08, Los Angeles County, California",1407,313,639,201,6,126,0,11
1400000US06037207400,"Census Tract 2074, Los Angeles County, California",2002,602,527,423,10,356,4,7
1400000US06037207501,"Census Tract 2075.01, Los Angeles County, California",2489,518,771,273,5,796,5,22
1400000US06037207502,"Census Tract 2075.02, Los Angeles County, California",4113,695,918,535,10,1771,11,27
1400000US06037207711,"Census Tract 2077.11, Los Angeles County, California",2280,401,856,263,0,630,6,10
1400000US06037207712,"Census Tract 2077.12, Los Angeles County, California",4737,623,1831,462,2,1515,4,34
1400000US06037207901,"Census Tract 2079.01, Los Angeles County, California",3645,564,1185,385,2,1244,3,50
1400000US06037207902,"Census Tract 2079.02, Los Angeles County, California",7405,1358,2511,747,8,2343,8,52
1400000US06037208001,"Census Tract 2080.01, Los Angeles County, California",2494,1048,388,268,14,660,0,17
1400000US06037208002,"Census Tract 2080.02, Los Angeles County, California",4113,3120,404,199,4,293,1,20
1400000US06037208301,"Census Tract 2083.01, Los Angeles County, California",1878,1683,72,27,0,75,5,5
1400000US06037208302,"Census Tract 2083.02, Los Angeles County, California",4560,3064,374,494,4,510,4,23
1400000US06037208401,"Census Tract 2084.01, Los Angeles County, California",3832,2749,129,72,14,819,0,17
1400000US06037208402,"Census Tract 2084.02, Los Angeles County, California",2590,1592,253,68,0,602,0,20
1400000US06037208501,"Census Tract 2085.01, Los Angeles County, California",2283,935,285,67,0,939,3,11
1400000US06037208502,"Census Tract 2085.02, Los Angeles County, California",3540,2403,301,133,7,628,2,17
1400000US06037208610,"Census Tract 2086.10, Los Angeles County, California",3878,1691,289,151,4,1628,0,12
1400000US06037208620,"Census Tract 2086.20, Los Angeles County, California",4052,2005,399,254,9,1286,2,23
1400000US06037208710,"Census Tract 2087.10, Los Angeles County, California",4147,1194,332,208,1,2287,0,16
1400000US06037208720,"Census Tract 2087.20, Los Angeles County, California",3810,2900,377,208,2,238,6,24
1400000US06037208801,"Census Tract 2088.01, Los Angeles County, California",3566,1921,369,409,12,722,6,41
1400000US06037208802,"Census Tract 2088.02, Los Angeles County, California",2942,1663,392,242,9,525,2,17
1400000US06037208902,"Census Tract 2089.02, Los Angeles County, California",2570,2274,65,44,3,152,0,9
1400000US06037208903,"Census Tract 2089.03, Los Angeles County, California",3888,3301,109,134,21,255,1,14
1400000US06037208904,"Census Tract 2089.04, Los Angeles County, California",3882,3187,146,132,17,337,2,42
1400000US06037209103,"Census Tract 2091.03, Los Angeles County, California",3079,2751,90,122,13,53,0,22
1400000US06037209104,"Census Tract 2091.04, Los Angeles County, California",2380,1826,149,174,4,155,0,10
