"","state","1","2","3","4","5","6","7","8","9","10","11","12","<NA>"
"1","AK",0.696969696969697,1.87878787878788,0.575757575757576,0.424242424242424,0.606060606060606,0.333333333333333,0.606060606060606,2.36363636363636,2.3030303030303,1.3030303030303,0.96969696969697,1.21212121212121,NA
"2","AL",20.0909090909091,20.4545454545455,20.0606060606061,21.2424242424242,21.4545454545455,21.3636363636364,21.2121212121212,20.1515151515152,21.4242424242424,20.7575757575758,21.2121212121212,19.2727272727273,NA
"3","AR",13.4848484848485,11.9393939393939,13.0606060606061,13.2727272727273,11.3333333333333,11.8787878787879,13.8787878787879,12.9090909090909,12.6060606060606,11.4848484848485,13.3636363636364,12.9090909090909,NA
"4","AZ",27.4545454545455,24,28.9393939393939,38.8181818181818,35.969696969697,33.9090909090909,31.8484848484848,26.9393939393939,40.9090909090909,32.2121212121212,31.2727272727273,38.6060606060606,NA
"5","CA",85.6666666666667,94.1212121212121,88.8787878787879,90.3333333333333,97.6969696969697,99.8181818181818,114.575757575758,89.030303030303,92.6363636363636,112.393939393939,90.7272727272727,76.1818181818182,NA
"6","CO",17.7878787878788,12.2424242424242,21.3939393939394,9.63636363636364,11.3333333333333,6.87878787878788,20.1818181818182,11.8181818181818,22.1515151515152,17.2424242424242,12.4848484848485,10.4545454545455,NA
"7","CT",12,13.6969696969697,8.15151515151515,14.1515151515152,9.09090909090909,6.57575757575758,15,12,10.3636363636364,9.18181818181818,13.0606060606061,8.18181818181818,NA
"8","DE",2.48484848484848,3.12121212121212,2.90909090909091,2.93939393939394,3.03030303030303,3.09090909090909,2.54545454545455,3.72727272727273,2.78787878787879,3.27272727272727,2.93939393939394,3.54545454545455,NA
"9","FL",82.9393939393939,79.7878787878788,82.9090909090909,82.3636363636364,83.6969696969697,83.3636363636364,79.3636363636364,79.0909090909091,81,80.9393939393939,84.1212121212121,80.3333333333333,NA
"10","GA",42.8787878787879,35.8181818181818,40.030303030303,42.5757575757576,37.0606060606061,41.4848484848485,35.7575757575758,33.4545454545455,46.3030303030303,42.1818181818182,36.7575757575758,39.8181818181818,NA
"11","HI",1.39393939393939,1.18181818181818,2.03030303030303,2.27272727272727,1.87878787878788,2.12121212121212,1.51515151515152,1.09090909090909,1.15151515151515,2.03030303030303,1.51515151515152,1.48484848484848,NA
"12","IA",11.7878787878788,9.84848484848485,10.8787878787879,11.8181818181818,9.78787878787879,7.63636363636364,3.60606060606061,22.6969696969697,11.2727272727273,8.63636363636364,12.6969696969697,8.09090909090909,NA
"13","ID",5.6969696969697,5,5.27272727272727,4.81818181818182,3.39393939393939,5.18181818181818,5.72727272727273,6.12121212121212,6.18181818181818,4.54545454545455,4,4.6969696969697,NA
"14","IL",38.3030303030303,35.5151515151515,46.8787878787879,35.3333333333333,40.4848484848485,39.3333333333333,47.9090909090909,43.8181818181818,37.3636363636364,44.5454545454545,39.5454545454545,36.8787878787879,NA
"15","IN",24.8787878787879,38.0909090909091,22.2121212121212,21.030303030303,23.1515151515152,22.9090909090909,25.7575757575758,27.1515151515152,26,26.7878787878788,22.6363636363636,24.0909090909091,NA
"16","KS",11.1212121212121,8.3030303030303,9.96969696969697,11.5151515151515,9.93939393939394,10.9090909090909,6.87878787878788,14.030303030303,9,12.1515151515152,11.2727272727273,3.54545454545455,NA
"17","KY",17.3030303030303,16.1212121212121,16.8787878787879,17.3030303030303,18.1212121212121,16.7575757575758,16.3333333333333,18.1212121212121,17.3030303030303,16.0909090909091,15.9090909090909,17.0606060606061,NA
"18","LA",17.3939393939394,16.4545454545455,20.8484848484848,17.7575757575758,15.6060606060606,13,20.5454545454545,21.1818181818182,17.7878787878788,20.5454545454545,17.3939393939394,16.5757575757576,NA
"19","MA",30.4848484848485,24.7575757575758,22.2121212121212,25.9393939393939,21.2424242424242,24.3333333333333,26.3030303030303,27.6363636363636,23.7878787878788,28,26.5757575757576,22.8484848484848,NA
"20","MD",15,15.3636363636364,12.6363636363636,15.8181818181818,14.4545454545455,15.1818181818182,15.1818181818182,15.4545454545455,17.5757575757576,15.969696969697,17.1515151515152,15.4848484848485,NA
"21","ME",3.18181818181818,2.57575757575758,4.51515151515152,3.39393939393939,2.24242424242424,4.27272727272727,3.36363636363636,2.36363636363636,1.48484848484848,1.63636363636364,3.12121212121212,1.60606060606061,NA
"22","MI",37.6363636363636,38.1212121212121,34.3333333333333,39.1515151515151,25.6666666666667,34.3939393939394,29.7272727272727,43.1212121212121,39.6363636363636,29.9393939393939,37.2727272727273,30.3030303030303,NA
"23","MN",12.8484848484848,13.7878787878788,17.6060606060606,11.5151515151515,14.5757575757576,14.8484848484848,13.7272727272727,13.8484848484848,13.8787878787879,15.2727272727273,14.2727272727273,13.1818181818182,NA
"24","MO",36,17.2727272727273,11.3939393939394,19.7272727272727,13.6060606060606,11.9393939393939,19.6666666666667,36.9393939393939,17.9393939393939,11,17.0909090909091,15.6969696969697,NA
"25","MS",14.2727272727273,13.4242424242424,11.3333333333333,13.3030303030303,9.93939393939394,9.87878787878788,11.3030303030303,15.1515151515152,12.1212121212121,11.6969696969697,12.7878787878788,10.6666666666667,NA
"26","MT",4.06060606060606,4.75757575757576,5.12121212121212,1.72727272727273,3,3.06060606060606,4.96969696969697,3.18181818181818,2.27272727272727,3.96969696969697,2.36363636363636,2.51515151515152,NA
"27","NC",25.1212121212121,26.5757575757576,26.2424242424242,26.5151515151515,28.8181818181818,26.2121212121212,25.5151515151515,26.7272727272727,26.8787878787879,26,28,25.8787878787879,NA
