"","state","1","2","3","4","5","6","7","8","9","10","11","12"
"1","AK",254.575757575758,286.272727272727,314.575757575758,317.787878787879,215.212121212121,235,364,250.393939393939,228.848484848485,313,245,277.30303030303
"2","AL",1435.30303030303,1450.06060606061,1456.66666666667,1531.57575757576,1467.18181818182,1473.18181818182,1495.54545454545,1599.39393939394,1397.87878787879,1424.9696969697,1506.78787878788,1602.42424242424
"3","AR",991.939393939394,888.515151515152,883.090909090909,958.363636363636,961.939393939394,958.878787878788,965.909090909091,1042.45454545455,938.606060606061,915.878787878788,991.393939393939,1098.12121212121
"4","AZ",2519.15151515152,1667.30303030303,2768.33333333333,1898.66666666667,2005.33333333333,2665.18181818182,1918.33333333333,2646.36363636364,2194.54545454545,2524.21212121212,2072.9696969697,2153.60606060606
"5","CA",8957.75757575758,9665.72727272727,12032.303030303,10536.9393939394,10242.1515151515,10073.3939393939,12706.1515151515,9020.18181818182,8458.39393939394,17701.2424242424,10728.5151515152,11785.1515151515
"6","CO",1725.0303030303,1518.39393939394,1641.27272727273,1572.63636363636,1744.24242424242,1792.93939393939,2038.39393939394,1740.39393939394,1746.63636363636,1679.15151515152,1784.06060606061,1714.33333333333
"7","CT",640.757575757576,821.878787878788,1362.93939393939,878.848484848485,841.181818181818,913.393939393939,1072.30303030303,770.090909090909,779.393939393939,1516.75757575758,1024.0303030303,841.878787878788
"8","DE",346.454545454545,309.212121212121,284.181818181818,321.090909090909,265.121212121212,321.757575757576,361.545454545455,385.393939393939,343.181818181818,327.939393939394,347.666666666667,315.969696969697
"9","FL",7003.48484848485,6707.9696969697,7037.90909090909,7494.18181818182,7170.90909090909,7919,7850.93939393939,7497.21212121212,7128.81818181818,6851.36363636364,7786.45454545455,6917.75757575758
"10","GA",2645.51515151515,1987.90909090909,4262.42424242424,2638.69696969697,2514.30303030303,2846.9696969697,3332.09090909091,2560.90909090909,1954.24242424242,4223.45454545455,2780.24242424242,2357.09090909091
"11","HI",445.212121212121,228.848484848485,346.212121212121,299.909090909091,236.818181818182,420.454545454545,266.454545454545,459.69696969697,228.454545454545,336.69696969697,369.939393939394,247.121212121212
"12","IA",884.454545454545,735.393939393939,905.121212121212,779.909090909091,908.545454545455,711.545454545455,1080.27272727273,832.848484848485,860.151515151515,1003.66666666667,926.727272727273,888.575757575758
"13","ID",521.515151515152,476.181818181818,545.272727272727,493.060606060606,477.787878787879,439.787878787879,478.030303030303,585.575757575758,494.545454545455,521.818181818182,494.030303030303,467.848484848485
"14","IL",3021.15151515152,3236.15151515152,4589.12121212121,3340.57575757576,3563.51515151515,4893.66666666667,4381.54545454545,3232.06060606061,3048.69696969697,5220.84848484848,3624.9696969697,3869
"15","IN",1887.69696969697,1591.06060606061,2663.0303030303,1524.45454545455,1730.06060606061,2313.63636363636,2008.69696969697,1805.09090909091,1447.24242424242,2929.36363636364,1757.93939393939,1949.33333333333
"16","KS",682.878787878788,781.090909090909,1169.72727272727,707.878787878788,906.030303030303,817.969696969697,1199.87878787879,729.424242424242,749.787878787879,1114.45454545455,743,1128.90909090909
"17","KY",1586.84848484848,1510.42424242424,1673.93939393939,1558.12121212121,1605.24242424242,1525.75757575758,1557.9696969697,1519.42424242424,1605.93939393939,1626.18181818182,1645.60606060606,1687.57575757576
"18","LA",1191.66666666667,1127.0303030303,2077.60606060606,1366.81818181818,1182.27272727273,1572.66666666667,1723.24242424242,1083.33333333333,1157.12121212121,1894.72727272727,1392.33333333333,1537.36363636364
"19","MA",1487.06060606061,1605.30303030303,2468.06060606061,2087.54545454545,2199.30303030303,2823.78787878788,2368.45454545455,1654.57575757576,1638.0303030303,3363.21212121212,2204.81818181818,1988.75757575758
"20","MD",1396.54545454545,1223.27272727273,1233.90909090909,1430.42424242424,1243.06060606061,1278.93939393939,1369.12121212121,1250.66666666667,1552.21212121212,1259.06060606061,1347.72727272727,1278.51515151515
"21","ME",292.30303030303,332.606060606061,329.69696969697,300.848484848485,309.666666666667,284.606060606061,316.848484848485,263.333333333333,311.333333333333,304.969696969697,325.212121212121,350.939393939394
"22","MI",2994.9696969697,2669.69696969697,4015,3001.54545454545,2365.60606060606,3000.33333333333,2742.48484848485,2671.78787878788,2357.15151515152,3249.66666666667,3171.48484848485,2921.57575757576
"23","MN",1884.87878787879,1369.42424242424,1675.75757575758,1847.36363636364,1296.60606060606,1589.06060606061,1982.81818181818,1702.81818181818,1303.30303030303,1765.18181818182,2206.15151515152,1643.81818181818
"24","MO",1519.0303030303,1536.27272727273,2213.75757575758,1526.33333333333,1811.54545454545,1428,1588.78787878788,2148.06060606061,1685.60606060606,1805.09090909091,1481.75757575758,1698.21212121212
"25","MS",826.666666666667,767.060606060606,1281.75757575758,1005.66666666667,831.30303030303,976.787878787879,955.666666666667,844.515151515152,692.030303030303,1134.93939393939,990.848484848485,933.454545454545
"26","MT",320.424242424242,320.181818181818,325.727272727273,344.515151515152,303.666666666667,230.69696969697,312.090909090909,338.575757575758,290.454545454545,339.575757575758,253.666666666667,299.333333333333
"27","NC",3141.54545454545,3207.27272727273,3104.15151515152,3076.15151515152,3199.09090909091,3217.51515151515,3230.63636363636,3517.57575757576,3206.09090909091,3118.18181818182,3264.78787878788,3399.24242424242
"28","ND",264.969696969697,260.212121212121,279.030303030303,266.181818181818,282.242424242424,264.242424242424,217.818181818182,279.757575757576,313.69696969697,250.545454545455,295.909090909091,283.606060606061
"29","NE",469.818181818182,505.757575757576,408.787878787879,521,441.272727272727,647.606060606061,605.727272727273,513.181818181818,405.878787878788,639.969696969697,534.242424242424,541.272727272727
"30","NH",280.515151515152,292.848484848485,437.424242424242,281.575757575758,288.090909090909,420.666666666667,375.909090909091,316.818181818182,285.545454545455,527.242424242424,334.151515151515,383.666666666667
"31","NJ",3006.15151515152,2950.81818181818,2584.72727272727,2963.57575757576,3174.15151515152,3019.9696969697,3188.45454545455,2995,3015.81818181818,2904,2779.75757575758,2725.93939393939
"32","NM",586.424242424242,504.666666666667,782.181818181818,481.545454545455,532.787878787879,606.545454545455,685.636363636364,546.545454545455,531.333333333333,764.636363636364,536.272727272727,713.272727272727
